Period,GS10,TB3MS,RSPREAD,RECESSION
1960:01,4.486666667,3.873333333,0.613333333,0
1960:02,4.26,2.993333333,1.266666667,1
1960:03,3.833333333,2.36,1.473333333,1
1960:04,3.886666667,2.306666667,1.58,1
1961:01,3.786666667,2.35,1.436666667,1
1961:02,3.79,2.303333333,1.486666667,0
1961:03,3.98,2.303333333,1.676666667,0
1961:04,3.973333333,2.46,1.513333333,0
1962:01,4.016666667,2.723333333,1.293333333,0
1962:02,3.873333333,2.716666667,1.156666667,0
1962:03,3.99,2.84,1.15,0
1962:04,3.903333333,2.813333333,1.09,0
1963:01,3.893333333,2.906666667,0.986666667,0
1963:02,3.963333333,2.94,1.023333333,0
1963:03,4.033333333,3.293333333,0.74,0
1963:04,4.12,3.496666667,0.623333333,0
1964:01,4.18,3.53,0.65,0
1964:02,4.2,3.476666667,0.723333333,0
1964:03,4.193333333,3.496666667,0.696666667,0
1964:04,4.173333333,3.683333333,0.49,0
1965:01,4.203333333,3.89,0.313333333,0
1965:02,4.206666667,3.873333333,0.333333333,0
1965:03,4.246666667,3.866666667,0.38,0
1965:04,4.473333333,4.166666667,0.306666667,0
1966:01,4.77,4.61,0.16,0
1966:02,4.78,4.586666667,0.193333333,0
1966:03,5.14,5.043333333,0.096666667,0
1966:04,5.003333333,5.21,-0.206666667,0
1967:01,4.583333333,4.513333333,0.07,0
1967:02,4.82,3.66,1.16,0
1967:03,5.246666667,4.3,0.946666667,0
1967:04,5.643333333,4.753333333,0.89,0
1968:01,5.61,5.05,0.56,0
1968:02,5.743333333,5.52,0.223333333,0
1968:03,5.46,5.196666667,0.263333333,0
1968:04,5.77,5.586666667,0.183333333,0
1969:01,6.176666667,6.093333333,0.083333333,0
1969:02,6.353333333,6.196666667,0.156666667,0
1969:03,6.856666667,7.023333333,-0.166666667,0
1969:04,7.296666667,7.353333333,-0.056666667,1
1970:01,7.366666667,7.21,0.156666667,1
1970:02,7.713333333,6.676666667,1.036666667,1
1970:03,7.46,6.326666667,1.133333333,1
1970:04,6.853333333,5.353333333,1.5,1
1971:01,6.016666667,3.84,2.176666667,0
1971:02,6.246666667,4.25,1.996666667,0
1971:03,6.483333333,5.01,1.473333333,0
1971:04,5.89,4.23,1.66,0
1972:01,6.033333333,3.436666667,2.596666667,0
1972:02,6.143333333,3.77,2.373333333,0
1972:03,6.29,4.22,2.07,0
1972:04,6.373333333,4.863333333,1.51,0
1973:01,6.603333333,5.7,0.903333333,0
1973:02,6.806666667,6.603333333,0.203333333,0
1973:03,7.206666667,8.323333333,-1.116666667,0
1973:04,6.753333333,7.5,-0.746666667,1
1974:01,7.053333333,7.616666667,-0.563333333,1
1974:02,7.543333333,8.153333333,-0.61,1
1974:03,7.963333333,8.19,-0.226666667,1
1974:04,7.67,7.36,0.31,1
1975:01,7.54,5.75,1.79,1
1975:02,8.05,5.393333333,2.656666667,0
1975:03,8.296666667,6.33,1.966666667,0
1975:04,8.063333333,5.626666667,2.436666667,0
1976:01,7.753333333,4.916666667,2.836666667,0
1976:02,7.773333333,5.156666667,2.616666667,0
1976:03,7.73,5.15,2.58,0
1976:04,7.19,4.673333333,2.516666667,0
1977:01,7.353333333,4.63,2.723333333,0
1977:02,7.37,4.84,2.53,0
1977:03,7.356666667,5.496666667,1.86,0
1977:04,7.596666667,6.11,1.486666667,0
1978:01,8.01,6.393333333,1.616666667,0
1978:02,8.32,6.476666667,1.843333333,0
1978:03,8.49,7.313333333,1.176666667,0
1978:04,8.82,8.57,0.25,0
1979:01,9.106666667,9.383333333,-0.276666667,0
1979:02,9.113333333,9.376666667,-0.263333333,0
1979:03,9.103333333,9.673333333,-0.57,0
1979:04,10.44666667,11.84333333,-1.396666667,0
1980:01,11.98666667,13.35333333,-1.366666667,1
1980:02,10.47666667,9.616666667,0.86,1
1980:03,10.95333333,9.153333333,1.8,1
1980:04,12.42333333,13.61333333,-1.19,0
1981:01,12.96,14.39,-1.43,0
1981:02,13.75,14.90666667,-1.156666667,0
1981:03,14.84666667,15.05333333,-0.206666667,1
1981:04,14.08666667,11.75,2.336666667,1
1982:01,14.29333333,12.81333333,1.48,1
1982:02,13.93,12.42,1.51,1
1982:03,13.11666667,9.316666667,3.8,1
1982:04,10.66666667,7.906666667,2.76,1
1983:01,10.56333333,8.106666667,2.456666667,0
1983:02,10.54333333,8.396666667,2.146666667,0
1983:03,11.62666667,9.14,2.486666667,0
1983:04,11.68666667,8.8,2.886666667,0
1984:01,11.94333333,9.17,2.773333333,0
1984:02,13.2,9.796666667,3.403333333,0
1984:03,12.86666667,10.32,2.546666667,0
1984:04,11.74333333,8.803333333,2.94,0
1985:01,11.58333333,8.183333333,3.4,0
1985:02,10.81333333,7.46,3.353333333,0
1985:03,10.33666667,7.106666667,3.23,0
1985:04,9.76,7.166666667,2.593333333,0
1986:01,8.556666667,6.896666667,1.66,0
1986:02,7.603333333,6.14,1.463333333,0
1986:03,7.306666667,5.523333333,1.783333333,0
1986:04,7.263333333,5.353333333,1.91,0
1987:01,7.193333333,5.536666667,1.656666667,0
1987:02,8.343333333,5.656666667,2.686666667,0
1987:03,8.876666667,6.043333333,2.833333333,0
1987:04,9.123333333,5.863333333,3.26,0
1988:01,8.416666667,5.723333333,2.693333333,0
1988:02,8.91,6.21,2.7,0
1988:03,9.1,7.01,2.09,0
1988:04,8.956666667,7.726666667,1.23,0
1989:01,9.206666667,8.54,0.666666667,0
1989:02,8.773333333,8.41,0.363333333,0
1989:03,8.106666667,7.843333333,0.263333333,0
1989:04,7.906666667,7.653333333,0.253333333,0
1990:01,8.423333333,7.76,0.663333333,0
1990:02,8.676666667,7.746666667,0.93,0
1990:03,8.703333333,7.476666667,1.226666667,1
1990:04,8.396666667,6.99,1.406666667,1
1991:01,8.016666667,6.023333333,1.993333333,1
1991:02,8.13,5.56,2.57,0
1991:03,7.94,5.376666667,2.563333333,0
1991:04,7.346666667,4.54,2.806666667,0
1992:01,7.303333333,3.893333333,3.41,0
1992:02,7.376666667,3.68,3.696666667,0
1992:03,6.616666667,3.083333333,3.533333333,0
1992:04,6.743333333,3.07,3.673333333,0
1993:01,6.28,2.96,3.32,0
1993:02,5.99,2.966666667,3.023333333,0
1993:03,5.616666667,3.003333333,2.613333333,0
1993:04,5.606666667,3.06,2.546666667,0
1994:01,6.066666667,3.243333333,2.823333333,0
1994:02,7.083333333,3.986666667,3.096666667,0
1994:03,7.333333333,4.476666667,2.856666667,0
1994:04,7.836666667,5.28,2.556666667,0
1995:01,7.483333333,5.736666667,1.746666667,0
1995:02,6.62,5.596666667,1.023333333,0
1995:03,6.323333333,5.366666667,0.956666667,0
1995:04,5.893333333,5.26,0.633333333,0
1996:01,5.91,4.93,0.98,0
1996:02,6.72,5.02,1.7,0
1996:03,6.78,5.096666667,1.683333333,0
1996:04,6.343333333,4.976666667,1.366666667,0
1997:01,6.563333333,5.06,1.503333333,0
1997:02,6.696666667,5.046666667,1.65,0
1997:03,6.243333333,5.046666667,1.196666667,0
1997:04,5.906666667,5.09,0.816666667,0
1998:01,5.586666667,5.053333333,0.533333333,0
1998:02,5.596666667,4.976666667,0.62,0
1998:03,5.203333333,4.823333333,0.38,0
1998:04,4.67,4.253333333,0.416666667,0
1999:01,4.983333333,4.406666667,0.576666667,0
1999:02,5.54,4.453333333,1.086666667,0
1999:03,5.883333333,4.65,1.233333333,0
1999:04,6.14,5.043333333,1.096666667,0
2000:01,6.48,5.52,0.96,0
2000:02,6.176666667,5.713333333,0.463333333,0
2000:03,5.893333333,6.016666667,-0.123333333,0
2000:04,5.566666667,6.016666667,-0.45,0
2001:01,5.05,4.816666667,0.233333333,1
2001:02,5.27,3.66,1.61,1
2001:03,4.98,3.17,1.81,1
2001:04,4.77,1.906666667,2.863333333,1
2002:01,5.076666667,1.72,3.356666667,0
2002:02,5.1,1.713333333,3.386666667,0
2002:03,4.26,1.643333333,2.616666667,0
2002:04,4.006666667,1.333333333,2.673333333,0
2003:01,3.92,1.156666667,2.763333333,0
2003:02,3.62,1.04,2.58,0
2003:03,4.233333333,0.93,3.303333333,0
2003:04,4.286666667,0.916666667,3.37,0
2004:01,4.02,0.916666667,3.103333333,0
2004:02,4.6,1.076666667,3.523333333,0
2004:03,4.303333333,1.486666667,2.816666667,0
2004:04,4.173333333,2.006666667,2.166666667,0
2005:01,4.296666667,2.536666667,1.76,0
2005:02,4.16,2.863333333,1.296666667,0
2005:03,4.213333333,3.36,0.853333333,0
2005:04,4.49,3.826666667,0.663333333,0
2006:01,4.57,4.393333333,0.176666667,0
2006:02,5.07,4.703333333,0.366666667,0
2006:03,4.896666667,4.906666667,-0.01,0
2006:04,4.63,4.903333333,-0.273333333,0
2007:01,4.68,4.983333333,-0.303333333,0
2007:02,4.846666667,4.736666667,0.11,0
2007:03,4.73,4.303333333,0.426666667,0
2007:04,4.26,3.39,0.87,1
2008:01,3.663333333,2.043333333,1.62,1
2008:02,3.886666667,1.626666667,2.26,1
2008:03,3.863333333,1.493333333,2.37,1
2008:04,3.253333333,0.296666667,2.956666667,1
2009:01,2.736666667,0.213333333,2.523333333,1
2009:02,3.313333333,0.173333333,3.14,1
2009:03,3.516666667,0.156666667,3.36,0
2009:04,3.46,0.056666667,3.403333333,0
2010:01,3.716666667,0.106666667,3.61,0
2010:02,3.49,0.146666667,3.343333333,0
2010:03,2.786666667,0.156666667,2.63,0
2010:04,2.863333333,0.136666667,2.726666667,0
2011:01,3.46,0.126666667,3.333333333,0
2011:02,3.21,0.046666667,3.163333333,0
2011:03,2.426666667,0.023333333,2.403333333,0
2011:04,2.046666667,0.013333333,2.033333333,0
2012:01,2.036666667,0.066666667,1.97,0
2012:02,1.823333333,0.086666667,1.736666667,0
2012:03,1.643333333,0.103333333,1.54,0
2012:04,1.706666667,0.086666667,1.62,0
2013:01,1.95,0.086666667,1.863333333,0
2013:02,1.996666667,0.05,1.946666667,0
2013:03,2.71,0.033333333,2.676666667,0
2013:04,2.746666667,0.063333333,2.683333333,0
2014:01,2.763333333,0.046666667,2.716666667,0
2014:02,2.623333333,0.033333333,2.59,0
2014:03,2.496666667,0.026666667,2.47,0
2014:04,2.28,0.023333333,2.256666667,0
2015:01,1.966666667,0.026666667,1.94,0
2015:02,2.166666667,0.02,2.146666667,0
2015:03,2.22,0.04,2.18,0
2015:04,2.19,0.123333333,2.066666667,0
2016:01,1.92,0.286666667,1.633333333,0
2016:02,1.753333333,0.256666667,1.496666667,0
2016:03,1.563333333,0.296666667,1.266666667,0
2016:04,2.13,0.43,1.7,0
2017:01,2.443333333,0.59,1.853333333,0
2017:02,2.263333333,0.89,1.373333333,0
2017:03,2.243333333,1.036666667,1.206666667,0
2017:04,2.37,1.206666667,1.163333333,0
